Lasaia agesilas
Lasiophila zapatoza
Leodonta dysoni
Leodonta tellane
Leodonta zenobia
Leptophobia aripa
Leptophobia aripa
Leptophobia caesia
Leptophobia eleone
Leptophobia eleusis
Leptophobia penthica
Leptophobia philoma
Leptophobia sp.
Leptophobia sp.
Leptophobia tovaria
Leptotes cassius
Leptotes cassius
Leptotes sp.
Leptotes sp.
Leptotes sp.
Leucochimona sp.
Leucochimon lagora
Libytheana cannenta
Libytheana cannenta
Libytheana carinenta
Libytheana carinenta
Lieinix nemesis
Limenitis bredowii
Limenitis isis
Lycorea cleobacea
Lycorea cleobacea
Lycorea cleobaea
Lycorea cleobaea
Lycorea halia
Lycorea halia
Lymanopoda albocincta
Lymanopoda obsoleta
Lymantria sp.
Lymantria sp.
Magneuptychia alcinoe
Magneuptychia libye
Magneuptychia sp.
Marpesia chiron
Marpesia chiron
Marpesia coresia
Marpesia coresia
Marpesia corinna
Marpesia petreus
Marpesia petreus
Marpesia sp.
Marpesia sp.
Marpesia sp.
Mechanitis doryssus
Mechanitis hanitis sp.
Mechanitis lysimnia
Mechanitis menapis
Mechanitis polymnia
Mechanitis sp.
Megeuptychia sp.
Melanis electron
Melanis electron
Melanis iarbas
Melanis iarbas
Melanis sp.
Melanis sp.
Melete lycimnia
Melete lycimnia
Melete sp.
Melete sp.
Mellicta plotina
Memphis aff. pithyusa
Memphis aff. pithyusa
Memphis arachne
Memphis basilia
Memphis basilia
Memphis moruus
Memphis moruus
Memphis morvus
Memphis nessus
Memphis nessus
Memphis oenomais
Memphis oenomais
Memphis pithyusa
Memphis pithyusa
Memphis pseudiphis
Memphis sp.
Memphis sp.
Mesosemia mevania
Mestra dorcas
Mestra dorcas
Metacharis lucius
Metacharis victrix
Microtia elva
Microtia elva
Mimoides ilus
Mimoides pausanias
Mimoides phaon
Ministrymon clytie
Ministrymon clytie
Ministrymon megacles
Ministrymon megacles
Ministrymon una
Ministrymon una
Moeris striga
Monca telata
Morpho helenor
Morpho heleonor
Morpho peleides
Morpho peleides
Morpho pho sp
Morpho pho sp
Morpho pho sp
Morpho sp
Morpho sp
Morpho sp
Morpho sulkoski
Morpho sulkowskyi
Mygona irmina
Myscelus phoronis
Mysoria barcastus
Napaea beltiana
Narope anartes
Narope cyllabarus
Nathalis plauta
Necyria bellona
Nica flavilla
Nicolaea sp.
Nicolaea sp.
Niconiades sp.
Noreppa chromus
Notheme erota
Ocaria ocrisia
Ocaria ocrisia
Oenomaus ortygnus
Oenomaus ortygnus
Oenomaus sp.
Oenomaus sp.
Oleria makrena
Oleria susiana
Opsiphanes
Opsiphanes bogotanus
Opsiphanes cassiae
Opsiphanes cassina
Opsiphanes sp.
Opsiphanes tamarindi
Oressinoma typhla
Orthos sp.
Ostrinotes kelia
Ouleus fridericus
Oxeoschistus puerta
Paches loxus
Pagyris cymothoe
Panacea prola
Panoquina lucas
Panoquina lucas
Panthiades bathildis
Panthiades bitias
Panthiades paphlagon
Panthiades phaleros
Panyapedaliodes panyasis
Papias dictys
Papias sp.
Papilio androgeus
Papilio androgeus
Papilio cacicus
Papilio paeon
Papilio sp.
Papilio sp.
Papilio sp.
Papilio sp.
Papilio sp.
Papilio sp.
Paracarystus hypargyra
Parcella amarynthina
Pareuptychia hesione
Pareuptychia metaleuca
Pareuptychia ocirrhoe
Pareuptychia sp.
Parides anchises
Parides arcas
Parides erithalion
Parides eurimedes
Parides eurimedes
